date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2025-04-20,85077.0,85320.76,83949.52,85179.24,8091.67725,1,84563.54285714286,83660.91733333333,0.01611763461335015,0.00272319825172862
2025-04-21,85179.24,88465.99,85144.76,87516.23,31773.37262,1,84981.34999999999,83783.43866666665,0.038991073411784496,0.0360053407713008
2025-04-22,87516.22,93888.0,87076.03,93442.99,43872.74705,1,86381.20714285715,84028.78833333333,0.07783665702197834,0.09833420332943077
2025-04-23,93442.99,94696.05,91935.41,93691.08,27404.16808,1,87761.30714285714,84235.21900000001,0.02954357517883363,0.09992857414553113
2025-04-24,93691.07,94005.0,91660.01,93980.47,19497.06071,1,89051.67285714285,84454.80566666667,0.025028959536912164,0.07386332797927886
2025-04-25,93980.47,95758.04,92855.96,94638.68,27500.66648,0,90503.67142857144,84712.456,0.03087960722052132,0.012795930438441516
2025-04-26,94638.68,95199.0,93870.69,94628.0,9415.06875,0,91868.09857142858,84958.989,0.014035593057722253,0.010000098195046991
2025-04-27,94628.0,95369.0,93602.58,93749.3,11162.841,1,93092.39285714286,85269.81966666666,0.018666990742697703,-0.0024597663748648912
2025-04-28,93749.29,95630.0,92800.01,95011.18,22157.53351,0,94163.1,85681.90766666667,0.0301867886146125,0.003936022776310999
2025-04-29,95011.18,95461.53,93742.54,94256.82,16955.3402,0,94279.36142857141,86077.46866666667,0.01809250237708873,-0.003922517648053403
2025-04-30,94256.82,95228.45,92910.0,94172.0,17661.2751,1,94348.06428571428,86464.86833333333,0.024597159123339797,0.004508833665958001
2025-05-01,94172.0,97424.02,94130.43,96489.91,21380.45343,1,94706.55571428571,86842.58733333334,0.034974196151722495,0.01556374734005006
2025-05-02,96489.9,97895.68,96350.0,96887.14,14905.74811,0,95027.76428571428,87321.61566666668,0.016019085935419074,0.02790588521870352
2025-05-03,96887.13,96935.67,95753.01,95856.42,9723.34838,0,95203.25285714286,87743.06000000001,0.012206574805136693,0.017886632969460026
2025-05-04,95856.42,96304.48,94151.38,94277.62,11036.38342,1,95278.72714285715,88089.31833333334,0.022461719308941346,-0.0229276822830492
2025-05-05,94277.61,95199.0,93514.1,94733.68,17251.18189,1,95239.08428571429,88462.50799999999,0.017871687667941456,-0.022226479179796255
2025-05-06,94733.68,96920.65,93377.0,96834.02,16122.64513,1,95607.25571428573,89075.97533333332,0.037406442988385906,0.010198586594408754
2025-05-07,96834.02,97732.0,95784.61,97030.5,16644.83854,1,96015.61285714286,89671.55066666666,0.020110597494558208,0.029199718872835456
2025-05-08,97030.5,104145.76,96876.29,103261.6,34962.02847,0,96982.99714285714,90569.52333333335,0.07491943254955917,0.09001993799881958
2025-05-09,103261.61,104361.3,102315.14,102971.99,27617.39907,1,97852.26142857142,91248.08233333334,0.019815302124381012,0.0633865040406254
2025-05-10,102971.99,104984.57,102818.76,104809.53,15324.78611,0,99131.27714285713,92088.15666666668,0.02103300130452963,0.08017097716697319
2025-05-11,104809.53,104972.0,103345.06,104118.0,17987.12197,0,100537.0457142857,92777.962,0.01552282507134611,0.008293499229142132
2025-05-12,104118.0,105819.45,100718.37,102791.32,31272.77792,1,101688.13714285716,93361.776,0.04899325764997409,-0.001754554806603248
2025-05-13,102791.32,104976.25,101429.7,104103.72,21253.42409,0,102726.66571428571,94039.9,0.03450242685861027,-0.006734215867583826
2025-05-14,104103.72,104356.95,102602.05,103507.82,16452.9081,1,103651.99714285714,94670.44133333332,0.016857226619759545,-0.005860466009719678
2025-05-15,103507.83,104192.7,101383.07,103763.71,17998.98604,0,103723.72714285715,95341.09866666667,0.02714413006243093,0.009459845442202797
2025-05-16,103763.71,104550.33,103100.49,103463.9,15683.88024,0,103794.0,95988.88266666669,0.013972515053673355,-0.006145985945555155
2025-05-17,103463.9,103709.86,102612.5,103126.65,11250.89622,1,103553.58857142857,96594.84066666667,0.010606211441865236,-0.003682523697243534
2025-05-18,103126.65,106660.0,103105.09,106454.26,21599.98726,0,103887.34,97327.493,0.034471303004606504,0.025929585594038462
